RAJ2000,DEJ2000,Jmag,Hmag,Kmag,Date
9.633532,84.808350,13.079,12.742,12.729,1999-10-19
8.562472,84.873627,14.459,14.103,14.166,1999-10-19
8.645318,84.868584,10.356,10.057,10.000,1999-10-19
8.698417,84.870300,15.111,14.719,14.715,1999-10-19
8.763521,84.869537,9.333,8.737,8.596,1999-10-19
8.863381,84.851677,16.537,15.688,15.976,1999-10-19
8.918021,84.853104,16.546,16.010,15.443,1999-10-19
8.951852,84.849991,14.649,14.313,14.329,1999-10-19
8.991565,84.856819,16.710,16.092,15.175,1999-10-19
9.035328,84.867874,14.474,13.976,13.917,1999-10-19
9.098960,84.845306,15.525,14.861,14.319,1999-10-19
9.071340,84.867073,16.281,15.812,16.420,1999-10-19
9.214321,84.853638,15.406,15.082,15.299,1999-10-19
9.215737,84.864716,11.605,11.267,11.249,1999-10-19
9.225485,84.856888,14.532,14.199,14.174,1999-10-19
9.372245,84.835274,11.120,10.426,10.329,1999-10-19
9.350154,84.856079,12.242,12.055,12.016,1999-10-19
9.314217,84.871407,17.123,16.151,15.783,1999-10-19
9.338310,84.867470,15.902,15.814,15.359,1999-10-19
9.386980,84.824135,14.131,13.697,13.625,1999-10-19
9.419228,84.873825,16.126,15.554,15.551,1999-10-19
9.442982,84.819138,16.005,15.224,14.911,1999-10-19
9.503164,84.832352,16.536,15.832,15.253,1999-10-19
9.614881,84.852089,10.229,9.914,9.940,1999-10-19
9.611111,84.824387,14.414,14.089,14.113,1999-10-19
9.709846,84.827759,15.918,15.541,14.875,1999-10-19
9.703308,84.871811,14.988,14.405,14.153,1999-10-19
9.796139,84.821831,15.845,15.427,15.533,1999-10-19
9.780599,84.822777,15.814,15.460,14.974,1999-10-19
9.825509,84.864319,15.826,15.173,15.490,1999-10-19
9.853584,84.864143,15.295,14.735,14.669,1999-10-19
9.917026,84.870819,16.739,16.059,16.452,1999-10-19
9.899526,84.812920,16.468,15.739,15.659,1999-10-19
9.880698,84.826767,13.779,13.490,13.518,1999-10-19
9.999536,84.863983,17.261,15.723,15.736,1999-10-19
9.938524,84.833260,13.548,13.186,13.070,1999-10-19
7.760803,84.936783,14.560,14.057,13.941,1999-10-19
